topic,ask_type,count
Catatonia,management,1
Catatonia,other,1
Catecholamine Metabolism,diagnosis,2
Catecholamine Metabolism,investigation,1
Catecholamine Synthesis,mechanism,2
Catecholamine Synthesis Inhibitors,mechanism,1
Catecholamine synthesis,mechanism,1
Catecholamine synthesis inhibitors,mechanism,1
Catecholamines,mechanism,2
Catecholamines,investigation,1
Categorical Data Analysis,other,1
Cauda equina syndrome,mechanism,1
Cauliflower ear,mechanism,1
Causal association,other,1
Causation,other,1
Cause Of Death,image_identification,1
Cause of Death,diagnosis,1
Cause of Death,image_identification,1
Causes Of Blindness,epidemiology,1
Causes of Blindness,epidemiology,1
Caustic Ingestion,management,1
Cavernous Sinus,anatomy_structure,1
Cavernous Sinus Thrombosis,diagnosis,1
Cavernous sinus thrombosis,diagnosis,1
Celiac Artery Compression Syndrome,diagnosis,1
Celiac artery,image_identification,1
Celiac disease,investigation,1
Cell Adhesion,mechanism,2
Cell Adhesion Molecules,mechanism,2
Cell Biology,mechanism,13
Cell Biology,other,10
Cell Biology,anatomy_structure,2
Cell Biology,image_identification,1
Cell Communication,other,1
Cell Culture,other,1
Cell Cycle,mechanism,2
Cell Death,mechanism,5
Cell Death,diagnosis,1
Cell Injury & Death,mechanism,39
Cell Injury & Death,other,29
Cell Injury & Death,diagnosis,15
Cell Lines,other,1
Cell Membrane Physiology,other,1
Cell Membrane Transport,mechanism,4
Cell Physiology,mechanism,7
Cell Physiology,other,4
Cell Physiology,anatomy_structure,1
Cell Physiology,image_identification,1
Cell Regeneration,other,1
Cell Signaling,mechanism,7
Cell Signaling,anatomy_structure,1
Cell Structure And Function,other,1
Cell Structure and Function,other,1
Cell adhesion,mechanism,2
Cell adhesion,other,1
Cell adhesion molecules,mechanism,2
Cell biology,investigation,1
Cell biology,mechanism,1
Cell biology,other,1
Cell culture,other,1
Cell cycle,mechanism,1
Cell cycle drugs,mechanism,1
Cell cycle inhibitors,mechanism,1
Cell death,mechanism,1
Cell division,other,1
Cell metabolism,mechanism,1
Cell physiology,mechanism,7
Cell physiology,other,4
Cell signaling,mechanism,10
Cell wall deficient organisms,other,1
Cell-mediated Immunity,mechanism,1
Cell-mediated immunity,mechanism,2
Cellular Adaptation And Injury,other,1
Cellular Adaptation and Injury,other,1
Cellular Adaptations,diagnosis,2
Cellular Adaptations,other,2
Cellular Aging,other,2
Cellular Biochemistry,mechanism,1
Cellular Immunity,mechanism,2
Cellular Immunity,other,1
Cellular Metabolism,mechanism,1
Cellular Movement,mechanism,1
Cellular Pathology,mechanism,2
Cellular Pathology,other,2
Cellular Physiology,mechanism,7
Cellular Physiology,anatomy_structure,2
Cellular Physiology,other,1
Cellular Respiration,other,1
Cellular components,other,1
Cellular immunity,mechanism,1
Cellular physiology,mechanism,2
Census,epidemiology,1
Census Methods,other,1
Central Venous Access,drug_of_choice,1
Central Venous Catheterization,management,1
Central venous access,drug_of_choice,1
Central venous catheterization,management,1
Cephalosporins,drug_of_choice,1
Cephalosporins,other,1
Cerclage,management,1
Cerebellar Agenesis,diagnosis,1
Cerebellar Anatomy,anatomy_structure,1
Cerebellar Functions,mechanism,1
Cerebellar Malformation,diagnosis,1
Cerebellar Peduncles,anatomy_structure,1
Cerebellar Physiology,other,1
Cerebellar Tracts,anatomy_structure,1
Cerebellar agenesis,diagnosis,1
Cerebellar anatomy,anatomy_structure,1
Cerebellar arteries,diagnosis,1
Cerebellar cortex,anatomy_structure,1
Cerebellar disorders,diagnosis,1
Cerebellar functions,mechanism,1
Cerebellar lesions,anatomy_structure,1
Cerebellar malformation,diagnosis,1
Cerebellar peduncles,anatomy_structure,1
Cerebellar physiology,other,1
Cerebellar tracts,anatomy_structure,1
Cerebellum,anatomy_structure,9
Cerebellum,mechanism,4
Cerebellum,diagnosis,1
Cerebral Arterial Circle,anatomy_structure,1
Cerebral Arteries,anatomy_structure,4
Cerebral Circulation,anatomy_structure,8
Cerebral Circulation,mechanism,2
Cerebral Circulation,other,2
Cerebral Cortex,anatomy_structure,4
Cerebral Cortex,diagnosis,2
Cerebral Cortex,mechanism,1
Cerebral Venous Sinus Thrombosis,diagnosis,1
Cerebral angiography,image_identification,1
Cerebral circulation,anatomy_structure,13
Cerebral circulation,mechanism,2
Cerebral circulation,other,1
Cerebral cortex,anatomy_structure,3
Cerebral infarction,anatomy_structure,1
Cerebral palsy,diagnosis,1
Cerebral thrombosis,diagnosis,1
Cerebral venous sinus thrombosis,diagnosis,1
Cerebrospinal Fluid,other,3
Cerebrospinal Fluid,mechanism,1
Cerebrospinal fluid,other,2
Cerebrospinal fluid,mechanism,1
Cerebrum,anatomy_structure,1
Ceruminous glands,anatomy_structure,1
Cervical Assessment,other,1
Cervical Cancer,management,7
Cervical Cancer,diagnosis,2
Cervical Cancer,anatomy_structure,1
Cervical Cancer,epidemiology,1
Cervical Cancer,investigation,1
Cervical Cancer,other,1
Cervical Cancer Radiotherapy,management,1
Cervical Cancer Screening,investigation,1
Cervical Cancer Screening,management,1
Cervical Cancer Staging,diagnosis,1
Cervical Carcinoma,management,1
Cervical Dysplasia,management,3
Cervical Dysplasia,diagnosis,1
Cervical Esophagus,epidemiology,1
Cervical Incompetence,diagnosis,3
Cervical Insufficiency,management,2
Cervical Insufficiency,diagnosis,1
Cervical Lymphatics,anatomy_structure,1
Cervical Pathology,investigation,3
Cervical Pathology,diagnosis,1
Cervical Pathology,other,1
Cervical Plexus,mechanism,1
Cervical Precancerous Lesions,management,1
Cervical Vertebrae,anatomy_structure,4
Cervical cancer,diagnosis,2
Cervical cancer,management,2
Cervical cancer radiotherapy,management,1
Cervical carcinoma,management,1
Cervical cord,anatomy_structure,1
Cervical fascia,anatomy_structure,1
Cervical insufficiency,diagnosis,1
Cervical pathology,investigation,1
Cervical pathology,management,1
Cervical rib,diagnosis,1
Cervical vertebrae,anatomy_structure,2
Cervix,anatomy_structure,1
Cesarean Section,management,3
Cesarean section,management,2
Cesarean section,other,1
Cestodes,diagnosis,6
Cestodes,other,4
Channelopathies,diagnosis,1
Chelating Agents,drug_of_choice,1
Chelating Agents,other,1
Chelating agents,drug_of_choice,1
Chelating agents,other,1
Chemical Bonds,mechanism,1
Chemical Bonds,other,1
Chemical Injuries,diagnosis,1
Chemical Mediators,mechanism,1
Chemical Poisons,other,1
Chemical emergency,management,1
Chemical injuries,diagnosis,1
Chemical poisons,other,1
Chemical warfare,other,1
Chemokines,other,1
Chemoprophylaxis,drug_of_choice,6
Chemoprophylaxis,management,1
Chemoreceptors,mechanism,4
Chemotherapy & Anticancer,other,17
Chemotherapy & Anticancer,drug_of_choice,6
Chemotherapy & Anticancer,mechanism,5
Chemotherapy & Anticancer,epidemiology,2
Chemotherapy & Anticancer,diagnosis,1
Chemotherapy & Anticancer,management,1
Chemotherapy Adverse Effects,management,1
Chemotherapy Agents,drug_of_choice,1
Chemotherapy Agents,mechanism,1
Chemotherapy Of Specific Microbial Diseases,other,2
Chemotherapy Side Effects,drug_of_choice,1
Chemotherapy administration,management,1
Chemotherapy agents,drug_of_choice,1
Chemotherapy agents,mechanism,1
Chemotherapy side effects,drug_of_choice,1
Cherry Red Spot,diagnosis,1
Cherry red spot,diagnosis,1
Chest,diagnosis,1
Chest,investigation,1
Chest CT Interpretation,image_identification,1
Chest Compression,management,1
Chest Ct Interpretation,image_identification,1
Chest Imaging,image_identification,3
Chest Imaging,diagnosis,1
Chest Imaging,investigation,1
Chest Lesions,management,1
Chest Pain,investigation,1
Chest Radiograph,image_identification,1
Chest Radiograph Signs,diagnosis,1
Chest Radiography,image_identification,4
Chest Radiography,investigation,2
Chest Radiography,anatomy_structure,1
Chest Radiography,diagnosis,1
Chest Radiology,image_identification,9
Chest Radiology,diagnosis,4
Chest Radiology,investigation,1
Chest Tube Management,management,1
Chest imaging,diagnosis,2
Chest radiograph signs,diagnosis,1
Chest radiography,image_identification,5
Chest radiography,investigation,1
Chest radiology,image_identification,2
Chest wall,anatomy_structure,1
Chest wall muscles,anatomy_structure,1
Chiari I,diagnosis,1
Chiari II,diagnosis,1
Chiari II malformation,diagnosis,1
Chiari Ii Malformation,diagnosis,1
Chiari Malformation,diagnosis,1
Chiari malformation,diagnosis,1
Chickenpox,epidemiology,2
Chickenpox,diagnosis,1
Child Abuse,diagnosis,3
Child Abuse,other,3
Child And Adolescent Psychiatry,diagnosis,1
Child And Adolescent Psychiatry,other,1
Child Health,other,10
Child Health,diagnosis,2
Child Health,epidemiology,1
Child Health Indicators,epidemiology,1
Child Mortality Determinants,other,1
Child Psychiatry,diagnosis,138
Child Psychiatry,other,87
Child Psychiatry,mechanism,15
Child Psychiatry,management,14
Child Psychiatry,drug_of_choice,12
Child Psychiatry,epidemiology,9
Child Psychiatry,investigation,2
Child Psychiatry,anatomy_structure,1
Child Rights,other,1
Child Rights Legislation,other,1
Child Sexual Abuse,other,1
Child Welfare,other,1
Child Welfare Legislation,other,1
Child and Adolescent Psychiatry,diagnosis,1
Child and Adolescent Psychiatry,other,1
Child health,epidemiology,1
Child health,management,1
Child health,other,1
Child sexual abuse,other,1
Child welfare,other,1
Child welfare legislation,other,1
Childhood Behavioral Disorders,other,1
Childhood Pneumonia,diagnosis,1
Childhood malignancies,other,1
Childhood pneumonia,diagnosis,1
Chlamydia,other,7
Chlamydia,diagnosis,6
Chlamydia,anatomy_structure,3
Chlamydia,investigation,1
Chlamydia Trachomatis,other,1
Chlamydia trachomatis,other,1
Chloride Channel Activators,mechanism,1
Chloride channel activators,mechanism,1
Choking,epidemiology,1
Choking,management,1
Choking,mechanism,1
Choking,other,1
Cholangiocarcinoma,other,1
Cholecystokinin,mechanism,1
Choledocholithiasis,management,2
Cholelithiasis,epidemiology,2
Cholelithiasis,management,2
Cholera,epidemiology,3
Cholera,investigation,3
Cholera,other,2
Cholera,management,1
Cholera Toxin Mechanism,mechanism,1
Cholera toxin mechanism,mechanism,1
Cholestasis,diagnosis,1
Cholestatic Liver Disease,diagnosis,1
Cholestatic Liver Diseases,diagnosis,1
Cholesteatoma,mechanism,9
Cholesteatoma,other,4
Cholesteatoma,anatomy_structure,1
Cholesteatoma,diagnosis,1
Cholesteatoma,management,1
Cholesterol Metabolism,other,1
Cholesterol Synthesis,mechanism,1
Cholinergic Agents,management,1
Cholinergic Agonists,drug_of_choice,1
Cholinergic Agonists,mechanism,1
Cholinergic Drugs,diagnosis,1
Cholinergic Drugs,drug_of_choice,1
Cholinergic Drugs,mechanism,1
Cholinergic agents,management,1
Cholinergic agonists,mechanism,1
Cholinergic drugs,drug_of_choice,1
Cholinergic receptors,mechanism,1
Cholinesterase Inhibitors,other,1
Cholinesterase inhibitors,diagnosis,1
Cholinesterase inhibitors,other,1
Chondrosarcoma,epidemiology,1
Chorda tympani,investigation,2
Chorda tympani,anatomy_structure,1
Choriocarcinoma,management,1
Chorionic Villus Sampling,diagnosis,1
Chorionic villus sampling,investigation,1
Choroid metastasis,diagnosis,1
Chromatography,other,1
Chromosomal Abnormalities,diagnosis,6
Chromosomal Abnormalities,other,4
Chromosomal Abnormalities,epidemiology,3
Chromosomal Abnormalities,investigation,1
Chromosomal Disorders,diagnosis,7
Chromosomal Disorders,other,3
Chromosomal Instability Syndromes,diagnosis,1
Chromosomal Translocation,investigation,1
Chromosomal abnormalities,diagnosis,3
Chromosomal abnormalities,epidemiology,2
Chromosomal abnormalities,mechanism,1
Chromosomal abnormalities,other,1
Chromosomal disorders,diagnosis,3
Chromosomal disorders,other,3
Chromosomal translocation,investigation,1
Chromosomal translocation,other,1
Chromosome abnormalities,diagnosis,1
Chromosome location,other,1
Chronic Kidney Disease,diagnosis,1
Chronic Kidney Disease,drug_of_choice,1
Chronic Liver Disease,investigation,1
Chronic Lung Disease,diagnosis,1
Chronic Obstructive Pulmonary Disease,diagnosis,2
Chronic Otitis Media,management,2
Chronic Otitis Media Complications,diagnosis,1
Chronic Pancreatitis,management,2
Chronic Pancreatitis,epidemiology,1
Chronic Pancreatitis,investigation,1
Chronic Pancreatitis,other,1
Chronic Suppurative Otitis Media,diagnosis,2
Chronic Suppurative Otitis Media,investigation,1
Chronic Suppurative Otitis Media,management,1
Chronic Venous Disease,other,1
Chronic Venous Disorders,diagnosis,1
Chronic Wounds,diagnosis,1
Chronic Wounds,other,1
Chronic bronchitis,diagnosis,1
Chronic pancreatitis,management,2
Chronic pancreatitis,investigation,1
Chronic venous disease,diagnosis,1
Chronic venous disorders,diagnosis,1
Chronic venous insufficiency,diagnosis,1
Chyluria,management,1
Cicatrising Alopecia,other,1
Ciliary Dysfunction,investigation,1
Ciliary Muscle,anatomy_structure,1
Ciliary body,anatomy_structure,1
Ciliary muscle,anatomy_structure,1
Circadian rhythm,other,1
Circulatory Physiology,other,1
Cirrhosis,management,1
Cirrhosis,mechanism,1
Cirrhosis Complications,other,1
Citric Acid Cycle,mechanism,9
Citric Acid Cycle,other,5
Citric acid cycle,other,3
Classification,other,2
Classifications,other,1
Claudication,diagnosis,2
Clavicle,anatomy_structure,3
Clearance,investigation,1
Cleft Lip And Palate,management,2
Cleft Lip And Palate,anatomy_structure,1
Cleft Lip And Palate,other,1
Cleft Lip and Palate,anatomy_structure,1
Cleft Lip and Palate,other,1
Cleft Palate,anatomy_structure,1
Cleft Palate,management,1
Cleft lip and palate,management,2
Cleft palate,management,1
Clinical Anatomy,anatomy_structure,3
Clinical Anatomy,image_identification,1
Clinical Assessment,other,1
Clinical Biochemistry,investigation,12
Clinical Biochemistry,other,3
Clinical Biochemistry,diagnosis,2
Clinical Chemistry,other,1
Clinical Examination,image_identification,1
Clinical Examination,investigation,1
Clinical Examination,other,1
Clinical Features,diagnosis,4
Clinical Features of Poisoning,diagnosis,1
Clinical Microbiology,investigation,2
Clinical Pathology,investigation,3
Clinical Pathology,diagnosis,1
Clinical Pharmacology,other,7
Clinical Pharmacology,drug_of_choice,2
Clinical Pharmacology,mechanism,2
Clinical Pharmacology,epidemiology,1
Clinical Pharmacology,investigation,1
Clinical Presentation,other,2
Clinical Scores,diagnosis,1
Clinical Signs,diagnosis,7
Clinical Signs,image_identification,1
Clinical Signs,other,1
Clinical Skills,investigation,1
Clinical Specimen Collection,investigation,2
Clinical Tests,diagnosis,2
Clinical Trials,other,6
Clinical Trials,epidemiology,1
Clinical Trials,mechanism,1
Clinical biochemistry,investigation,4
Clinical biochemistry,other,1
Clinical chemistry,other,1
Clinical examination,other,1
Clinical features,diagnosis,1
Clinical manifestations,diagnosis,1
Clinical presentation,diagnosis,1
Clinical signs,diagnosis,1
Clinical signs,other,1
Clinical trials,other,1
Clostridia,other,1
Clostridioides Difficile,other,1
Clostridioides difficile,other,1
Clostridium,diagnosis,2
Clostridium,epidemiology,1
Clubbing,diagnosis,1
Clubfoot,management,3
Clubfoot,anatomy_structure,1
Clubfoot,diagnosis,1
Cluster testing,epidemiology,1
Cns Pharmacology,mechanism,5
Cns Pharmacology,drug_of_choice,3
Cns Pharmacology,other,3
Cns Stimulants,mechanism,2
Cns Stimulants,drug_of_choice,1
Cns Stimulants,other,1
Coagulation,other,8
Coagulation,mechanism,6
Coagulation,investigation,2
Coagulation,management,1
Coagulation Cascade,mechanism,1
Coagulation Cascade,other,1
Coagulation Disorders,diagnosis,7
Coagulation Disorders,mechanism,4
Coagulation Disorders,other,4
Coagulation Disorders,epidemiology,1
Coagulation Disorders,management,1
Coagulation cascade,mechanism,2
Coagulation disorders,mechanism,2
Coagulation disorders,diagnosis,1
Coagulation disorders,epidemiology,1
Coagulation disorders,management,1
Coagulation disorders,other,1
Coagulation monitoring,image_identification,1
Coagulation monitoring,investigation,1
Coarctation Of Aorta,image_identification,1
Coarctation Of Aorta Imaging,image_identification,1
Coarctation of Aorta,image_identification,1
Coarctation of Aorta Imaging,image_identification,1
Coarctation of aorta,diagnosis,2
Cobalamin deficiency,other,1
Cobalt therapy,other,1
Cocaine,diagnosis,1
Cocaine Withdrawal,drug_of_choice,1
Cochlea,anatomy_structure,1
Cochlear And Brainstem Implants,anatomy_structure,1
Cochlear Implant,investigation,1
Cochlear Implants,image_identification,2
Cochlear and Brainstem Implants,anatomy_structure,1
Cochlear hair cells,diagnosis,1
Cochlear implant,anatomy_structure,2
Cochlear implants,image_identification,1
Coeliac Disease,investigation,1
Coeliac Trunk,anatomy_structure,2
Coenzymes,other,3
Coenzymes,mechanism,2
Cofactors,investigation,1
Cognitive Disorders,diagnosis,3
Cognitive Disorders,other,2
Cognitive Disorders,investigation,1
Cognitive Testing,diagnosis,1
Cognitive Therapy,management,1
Cognitive Therapy,other,1
Cognitive behavioral therapy,other,1
Cognitive disorders,investigation,1
Cognitive testing,diagnosis,1
Cold Chain,other,2
Cold Chain,management,1
Cold exposure,mechanism,1
Coliform Count,investigation,1
Colistin,other,1
Colitis,diagnosis,1
Collagen,mechanism,3
Collagen,anatomy_structure,1
Collagen,other,1
Collagen Metabolism,mechanism,2
Collagen Structure,mechanism,1
Collagen metabolism,diagnosis,1
Collagen structure,mechanism,1
Coloboma,diagnosis,2
Colon,diagnosis,1
Colon,other,1
Colonic Injury,management,1
Colonic Pseudo-Obstruction,management,1
Colonic injury,management,1
Colonoscopy,management,1
Color Vision Deficiency,diagnosis,1
Color vision deficiency,diagnosis,1
Colorectal Cancer,epidemiology,3
Colorectal Cancer,diagnosis,1
Colorectal Cancer Precursors,other,1
Colorectal Disorders,diagnosis,1
Colorectal Imaging,image_identification,1
Colorectal Polyps,diagnosis,1
Colorectal Polyps,image_identification,1
Colorectal Surgery,management,10
Colorectal Surgery,image_identification,2
Colorectal Surgery,investigation,2
Colorectal Surgery,anatomy_structure,1
Colorectal Surgery,diagnosis,1
Colorectal Surgery,other,1
Colorectal cancer,epidemiology,3
Colorectal cancer,diagnosis,2
Colorectal cancer,investigation,1
Colorectal cancer,other,1
Colorectal imaging,image_identification,1
Colorectal surgery,management,3
Colorectal surgery,other,1
Colposcopy,diagnosis,1
Colposcopy,other,1
Coma and brain injury,other,1
Common Peroneal Nerve,anatomy_structure,1
Communicable And Non-Communicable Diseases,other,10
Communicable Diseases,epidemiology,14
Communicable Diseases,other,13
Communicable Diseases,drug_of_choice,3
Communicable Diseases,management,2
Communicable Diseases,image_identification,1
Communicable diseases,other,2
Communicable diseases,diagnosis,1
Communicable diseases,drug_of_choice,1
Communicable diseases,epidemiology,1
Communicable diseases,management,1
Communication Methods,other,1
Community Dynamics,other,1
Community Health,other,1
Community Health Workers,other,3
Community Ophthalmology,other,1
Community Participation,other,1
Community Psychiatry,other,1
Compartment Syndrome,anatomy_structure,2
Compartment Syndrome,epidemiology,1
Compartment Syndrome,management,1
Compartment Syndromes,diagnosis,3
Compartment Syndromes,management,1
Compartment syndrome,anatomy_structure,1
Compartment syndrome,management,1
Compartment syndromes,diagnosis,3
Complement,other,1
Complement Disorders,diagnosis,1
Complement System,mechanism,10
Complement System,other,3
Complement disorders,diagnosis,1
Complement system,mechanism,10
Complement system,other,2
Complex Febrile Seizures,epidemiology,1
Complex Regional Pain Syndrome,diagnosis,1
Complex Regional Pain Syndrome,other,1
Complex febrile seizures,epidemiology,1
Complex regional pain syndrome,other,1
Complicated Deliveries,management,1
Complications Of Neuraxial Anesthesia,other,1
Complications of Puerperium,diagnosis,1
Complications of neuraxial anesthesia,other,1
Computed Tomography (CT),investigation,1
Computed Tomography (Ct),investigation,1
Concept Of Health And Disease,other,7
Concomitant squint,diagnosis,1
Conduction abnormalities,diagnosis,2
Conductive hearing loss,anatomy_structure,1
Confounding,epidemiology,1
Congenital Anomalies,diagnosis,23
Congenital Anomalies,anatomy_structure,4
Congenital Anomalies,image_identification,4
Congenital Anomalies,management,3
Congenital Anomalies,other,3
Congenital Anomalies,epidemiology,1
Congenital Anomalies,investigation,1
Congenital Anomalies,mechanism,1
Congenital Anomalies Screening,investigation,1
Congenital Brain Malformations,image_identification,2
Congenital CNS Anomalies,diagnosis,1
Congenital CNS Anomalies,image_identification,1
Congenital CNS malformations,diagnosis,1
Congenital CNS malformations,image_identification,1
Congenital Cardiac Imaging,diagnosis,1
Congenital Eye Anomalies,anatomy_structure,1
Congenital Eye Disorders,image_identification,1
Congenital Heart Defects,other,1
Congenital Heart Disease,diagnosis,16
Congenital Heart Disease,image_identification,3
Congenital Heart Disease,anatomy_structure,2
Congenital Heart Disease,other,2
Congenital Heart Disease,epidemiology,1
Congenital Heart Disease,investigation,1
Congenital Heart Disease,mechanism,1
Congenital Heart Disease Imaging,image_identification,2
Congenital Heart Disease Imaging,diagnosis,1
Congenital Heart Diseases,anatomy_structure,1
Congenital Hypothyroidism,diagnosis,1
Congenital Limb Defects,diagnosis,1
Congenital Malformations,diagnosis,1
Congenital Malformations,image_identification,1
Congenital Neck Lesions,management,1
Congenital Ocular Anomalies,diagnosis,2
Congenital Rubella Syndrome,diagnosis,1
Congenital Syndromes,diagnosis,1
Congenital Talipes Equinovarus,management,7
Congenital Talipes Equinovarus,anatomy_structure,1
Congenital Talipes Equinovarus,diagnosis,1
Congenital Toxoplasmosis,diagnosis,1
Congenital Tuberculosis,epidemiology,1
Congenital Urinary Anomalies,image_identification,1
Congenital Uterine Anomalies,diagnosis,2
Congenital Uterine Anomalies,image_identification,2
Congenital Uterine Anomalies,epidemiology,1
Congenital Vertical Talus,epidemiology,1
Congenital anomalies,diagnosis,5
Congenital anomalies,management,4
Congenital anomalies,other,2
Congenital anomalies,epidemiology,1
Congenital anomalies,image_identification,1
Congenital brain malformations,image_identification,2
Congenital disorders,diagnosis,1
Congenital disorders,investigation,1
Congenital eye disorders,diagnosis,2
Congenital genital anomalies,diagnosis,1
Congenital heart disease,diagnosis,3
Congenital heart disease,other,3
Congenital heart disease,drug_of_choice,2
Congenital heart disease,anatomy_structure,1
Congenital heart disease,image_identification,1
Congenital heart disease,mechanism,1
Congenital malformations,diagnosis,1
Congenital nasolacrimal duct obstruction,management,4
Congenital nasolacrimal duct obstruction,diagnosis,2
Congenital nasolacrimal duct obstruction,anatomy_structure,1
Congenital ocular anomalies,diagnosis,2
Congenital syndromes,diagnosis,1
Congenital syphilis,investigation,1
Congenital talipes equinovarus,management,4
Congenital talipes equinovarus,diagnosis,1
Congenital urinary anomalies,image_identification,1
Congenital urinary obstruction,other,1
Congenital uterine anomalies,diagnosis,1
Congenital uterine anomalies,image_identification,1
Congenital vertical talus,epidemiology,1
Conization,management,1
Conjoined Twins,epidemiology,1
Conjoined twins,epidemiology,1
Conjunctiva,other,5
Conjunctiva,diagnosis,4
Conjunctiva,anatomy_structure,3
Conjunctiva,image_identification,2
Conjunctiva,management,1
Conjunctival Disorders,diagnosis,2
Conjunctival Disorders,other,2
Conjunctival Disorders,image_identification,1
Conjunctival Lesions,diagnosis,2
Conjunctival Lesions,image_identification,1
Conjunctival Staining,diagnosis,1
Conjunctival disorders,other,2
Conjunctival disorders,epidemiology,1
Conjunctival lesions,diagnosis,2
Conjunctival staining,diagnosis,1
Conjunctivitis,diagnosis,9
Conjunctivitis,other,2
Connective Tissue,anatomy_structure,4
Connective Tissue,mechanism,4
Connective Tissue,other,4
Connective Tissue,image_identification,3
Connective Tissue Biochemistry,anatomy_structure,1
Connective Tissue Biochemistry,other,1
Connective Tissue Diseases,diagnosis,3
Connective Tissue Disorders,diagnosis,6
Connective Tissue Disorders,other,2
Connective Tissue Disorders,image_identification,1
Connective tissue,mechanism,3
Connective tissue,anatomy_structure,1
Connective tissue,image_identification,1
Connective tissue,other,1
Connective tissue diseases,diagnosis,2
Connective tissue disorders,other,3
Connective tissue disorders,diagnosis,2
Consanguinity,diagnosis,1
Consanguinity,epidemiology,1
Conscious sedation,other,1
Consciousness,management,1
Consciousness assessment,other,1
Consent,other,3
Constipation,other,1
Constitution,other,3
Constitutional Articles,other,1
Constrictive pericarditis,diagnosis,1
Consumer Protection,other,6
Contact Dermatitis,epidemiology,2
Contact dermatitis,epidemiology,1
Contraception,other,34
Contraception,management,21
Contraception,mechanism,7
Contraception,drug_of_choice,5
Contraception,epidemiology,4
Contraception,anatomy_structure,2
Contraception,image_identification,2
Contraception,diagnosis,1
Contraceptive Methods,image_identification,1
Contraceptive Methods,management,1
Contraceptive Prevalence,epidemiology,1
Contraceptive methods,management,1
Contraceptive prevalence,epidemiology,1
Contraceptives,drug_of_choice,2
Contraceptives,mechanism,1
Contraceptives,other,1
Contracted Pelvis,anatomy_structure,1
Contraindications,management,5
Contraindications,diagnosis,1
Contraindications,drug_of_choice,1
Contraindications,investigation,1
Contrast Agents,investigation,2
Contrast Agents,other,1
Contrast Media,investigation,3
Contrast Media,other,2
Contrast Media,management,1
Contrast Media,mechanism,1
Contrast Media Properties,other,1
Contrast Media Safety,investigation,1
Contrast Nephropathy Prevention,management,1
Contrast Studies,diagnosis,1
Contrast Studies,image_identification,1
Contrast agents,investigation,2
Contrast agents,image_identification,1
Contrast studies,investigation,1
Control Of Breathing,diagnosis,3
Control of Breathing,diagnosis,3
Controlled ventilation,management,1
Conversion Disorder,diagnosis,9
Conversion Disorder,investigation,1
Conversion Disorders,diagnosis,1
Conversion disorder,diagnosis,5
Conversion disorder,investigation,1
Copd,diagnosis,3
Copd,epidemiology,1
Copd,management,1
Copd Classification,diagnosis,1
Copd Exacerbation,diagnosis,1
Copd Staging,other,1
Copper Metabolism,investigation,4
Copper Metabolism,diagnosis,1
Copper metabolism,diagnosis,1
Copper metabolism,drug_of_choice,1
Copper metabolism,investigation,1
Cord Prolapse,other,1
Cord prolapse,other,1
Cori'S Cycle,mechanism,1
Cori's Cycle,mechanism,1
Cornea & Refractive,other,48
Cornea & Refractive,diagnosis,46
Cornea & Refractive,management,14
Cornea & Refractive,anatomy_structure,10
Cornea & Refractive,mechanism,8
Cornea & Refractive,investigation,7
Cornea & Refractive,epidemiology,4
Cornea & Refractive,image_identification,4
Cornea & Refractive,drug_of_choice,1
Coronary Arteries,anatomy_structure,1
Coronary Artery Disease,drug_of_choice,1
Coronary Artery Disease,management,1
Coronary Circulation,anatomy_structure,2
Coronary Circulation,mechanism,1
Coronary Sinus,anatomy_structure,1
Coronary arteries,anatomy_structure,1
Coronary arteries,diagnosis,1
Coronary artery disease,management,2
Coronary artery disease,other,1
Corpus Luteum,other,1
Corrnea,other,1
Corrosive Poisoning,management,1
Corrosive Poisons,other,1
Corrosive injury,mechanism,1
Corrosive poisoning,management,1
Corrosive poisoning,other,1
Corticosteroids,other,8
Cortisol,other,1
Corynebacterium,mechanism,2
Corynebacterium,investigation,1
Corynebacterium,other,1
Corynebacterium Diphtheriae,drug_of_choice,1
Corynebacterium Diphtheriae,management,1
Corynebacterium diphtheriae,drug_of_choice,1
Corynebacterium diphtheriae,management,1
Counter-Current Mechanism,other,1
Counter-current Mechanism,other,1
Court Of Law,other,3
Coxa Vara,diagnosis,3
Coxa Vara,image_identification,1
Cranial Anatomy,anatomy_structure,1
Cranial Arteries,anatomy_structure,1
Cranial Nerve Disorders,mechanism,2
Cranial Nerve Examination,anatomy_structure,1
Cranial Nerve Functions,mechanism,1
Cranial Nerve Innervation,anatomy_structure,1
Cranial Nerve Nuclei,anatomy_structure,3
Cranial Nerve Palsies,diagnosis,2
Cranial Nerve Palsies,anatomy_structure,1
Cranial Nerves,anatomy_structure,51
Cranial Nerves,diagnosis,3
Cranial Nerves,image_identification,2
Cranial Nerves,mechanism,2
Cranial Nerves,other,2
Cranial Sutures And Fontanelles,anatomy_structure,1
Cranial Sutures and Fontanelles,anatomy_structure,1
Cranial Vasculature,anatomy_structure,1
Cranial Venous Sinuses,anatomy_structure,9
Cranial cavity,anatomy_structure,1
Cranial nerve anatomy,anatomy_structure,2
Cranial nerve disorders,mechanism,2
Cranial nerve disorders,diagnosis,1
Cranial nerve examination,anatomy_structure,1
Cranial nerve nuclei,anatomy_structure,1
Cranial nerve palsies,diagnosis,2
Cranial nerve palsies,anatomy_structure,1
