topic,concept,count,years
Endocrine Pharmacology,aminoglycoside induced hearing loss,1,2014
Endocrine Pharmacology,amiodarone side effect not,1,2016
Endocrine Pharmacology,amphetamine induced psychosis,1,2013
Endocrine Pharmacology,anesthetic contraindicated renal failure,1,2013
Endocrine Pharmacology,anti-leprotic drug not supervised,1,2014
Endocrine Pharmacology,antiarrhythmic QT prolongation,1,2016
Endocrine Pharmacology,antidiabetic drug mechanisms,1,2016
Endocrine Pharmacology,antiepileptic drug breast milk excretion,1,2014
Endocrine Pharmacology,antimuscarinic for overactive bladder,1,2015
Endocrine Pharmacology,antipsychotic prolactin elevation,1,2016
Endocrine Pharmacology,arsenic polyneuropathy stage,1,2015
Endocrine Pharmacology,aspirin anti-inflammatory dose,1,2014
Endocrine Pharmacology,barbiturates metalloporphyrins porphyria,1,2015
Endocrine Pharmacology,beta blocker aqueous formation,1,2014
Endocrine Pharmacology,beta-blocker caution,1,2015
Endocrine Pharmacology,bisphosphonate first-line osteoporosis,1,2024
Endocrine Pharmacology,brimonidine decreased aqueous secretion,1,2014
Endocrine Pharmacology,brimonidine selective alpha-2 agonist,1,2014
Endocrine Pharmacology,capecitabine antimetabolite classification,1,2015
Endocrine Pharmacology,catheter UTI pneumonia antibiotic,1,2018
Endocrine Pharmacology,colchicine inhibits leukocyte migration,1,2018
Endocrine Pharmacology,colchicine mechanism,1,2019
Endocrine Pharmacology,comedonal acne drug choice,1,2015
Endocrine Pharmacology,decanethonium depolarizing relaxant,1,2014
Endocrine Pharmacology,diabetic HbA1c management,1,2025
Endocrine Pharmacology,digitalis ECG changes,1,2014
Endocrine Pharmacology,digitalis induced pulsus bigeminus,1,2014
Endocrine Pharmacology,dopamine supersensitivity causes dyskinesia,1,2014
Endocrine Pharmacology,drug contraindicated in liver dysfunction,1,2014
Endocrine Pharmacology,drug-induced seizures,1,2016
Endocrine Pharmacology,endothelin receptor pathway,1,2016
Endocrine Pharmacology,epinephrine pharmacology facts,1,2016
Endocrine Pharmacology,erectile dysfunction drugs,1,2013
Endocrine Pharmacology,ergometrine action in PPH,1,2013
Endocrine Pharmacology,fastest acting inhalational anesthetic,1,2014
Endocrine Pharmacology,first line antihypertensive CAD,1,2016
Endocrine Pharmacology,fixed dose combination advantage,1,2019
Endocrine Pharmacology,fluoroquinolone QT interval prolongation,1,2014
Endocrine Pharmacology,fluoroquinolone for gonorrhea,1,2021
Endocrine Pharmacology,global warming inhalational anesthetic,1,2013
Endocrine Pharmacology,glycopyrrolate advantage over atropine,1,2016
Endocrine Pharmacology,haloperidol DOC,1,2016
Endocrine Pharmacology,high plasma protein binding effect,1,2019
Endocrine Pharmacology,hyperparathyroidism drug options,1,2016
Endocrine Pharmacology,hypoalbuminemia reduces drug binding,1,2014
Endocrine Pharmacology,influenza vaccine live vs killed,1,2015
Endocrine Pharmacology,influenza vaccine side effects,1,2014
Endocrine Pharmacology,ketamine side effects,1,2013
Endocrine Pharmacology,laxative side effects,1,2018
Endocrine Pharmacology,lead poisoning pure motor palsy,1,2016
Endocrine Pharmacology,leukotriene inhibitors indication,1,2016
Endocrine Pharmacology,levodopa adjunct COMT inhibitor,1,2014
Endocrine Pharmacology,levosimendan mechanism,1,2014
Endocrine Pharmacology,liothyronine for resistant depression,1,2016
Endocrine Pharmacology,longest acting local anesthetic,1,2014
Endocrine Pharmacology,metyrapone mechanism of action,1,2016
Endocrine Pharmacology,muscarinic receptor functions,1,2015
Endocrine Pharmacology,mycophenolate mofetil properties,1,2010
Endocrine Pharmacology,nasal GnRH analogue,1,2016
Endocrine Pharmacology,neuraminidase inhibitor oseltamivir,1,2019
Endocrine Pharmacology,niacin diabetes contraindication,1,2016
Endocrine Pharmacology,nicotine withdrawal symptoms,1,2013
Endocrine Pharmacology,nitazoxanide antihelminthic antiprotozoal,1,2014
Endocrine Pharmacology,non-depolarizing neuromuscular block,1,2019
Endocrine Pharmacology,non-mucosa anesthetic,1,2014
Endocrine Pharmacology,non-prokinetic drug identification,1,2020
Endocrine Pharmacology,once-daily PDE5 inhibitor PAH,1,2014
Endocrine Pharmacology,oral candidiasis treatment,1,2016
Endocrine Pharmacology,palliative pancreatic carcinoma drug of choice,1,2016
Endocrine Pharmacology,prasugrel antiplatelet facts,1,2016
Endocrine Pharmacology,prevention of methemoglobin formation,1,2014
Endocrine Pharmacology,propofol false statement,1,2013
Endocrine Pharmacology,propofol for day care,1,2014
Endocrine Pharmacology,propofol infusion syndrome,1,2013
Endocrine Pharmacology,propoxur irreversible carbamate,1,2016
Endocrine Pharmacology,relapsed MM drug regimen,1,2016
Endocrine Pharmacology,scorpion sting drug of choice,1,2019
Endocrine Pharmacology,secondary prevention of MI,1,2015
Endocrine Pharmacology,serotonin receptor classification,1,2016
Endocrine Pharmacology,small nonmyelinated fibers blocked more,1,2015
Endocrine Pharmacology,strychnine poisoning muscle pattern,1,2016
Endocrine Pharmacology,succinylcholine depolarizing muscle relaxant,1,2014
Endocrine Pharmacology,sulfonylurea mechanism,1,2016
Endocrine Pharmacology,sustained release benefits over conventional,1,2014
Endocrine Pharmacology,synthetic uncouplers list,1,2016
Endocrine Pharmacology,tPA fibrinolysis,1,2024
Endocrine Pharmacology,tetracaine concentration eye surgery,1,2014
Endocrine Pharmacology,tetracycline milk chelation,1,2015
Endocrine Pharmacology,topical steroid formulation potency,1,2010
Endocrine Pharmacology,true statements about drug metabolism,1,2015
Endocrine Pharmacology,typhoid treatment drug not used,1,2014
Endocrine Pharmacology,typical antipsychotic D2 receptor,1,2014
Endocrine Pharmacology,ulipristal acetate dose,1,2024
Endocrinology,Graves disease false statement,2,"2016,2017"
Endocrinology,Pediatric DKA management,2,2018
Endocrinology,VIPoma Verner Morrison syndrome,2,2012
Endocrinology,hCG stimulates fetal testosterone,2,"2012,2024"
Endocrinology,insulin mediated glucose transport,2,"2014,2015"
Endocrinology,17 alpha hydroxylprogesterone exception,1,2013
Endocrinology,17-hydroxylase deficiency features,1,2013
Endocrinology,46 XX female karyotype,1,2018
Endocrinology,5-alpha reductase 17 hydroxylase deficiency,1,2013
Endocrinology,5-alpha reductase deficiency phenotype,1,2013
Endocrinology,"A 25-year-old male patient complained of palpitations, sweating, and restlessness. He has a",1,2023
Endocrinology,"A female patient presents to the emergency depadrtment with severe restlessness, palpitations,",1,2023
Endocrinology,A patient with diabetes mellitus for the past 5 years presents with vomiting and abdominal,1,2022
Endocrinology,ACTH elevation in Addison disease,1,2024
Endocrinology,ACTH mediated hyperpigmentation,1,2024
Endocrinology,ADH synthesis site,1,2012
Endocrinology,AMH premature ovarian insufficiency,1,2025
Endocrinology,AV block etiology,1,2017
Endocrinology,Acromegaly clinical features,1,2025
Endocrinology,Acromegaly most common death cause,1,2020
Endocrinology,Acromegaly post-op management,1,2022
Endocrinology,Addison disease presentation,1,2025
Endocrinology,Addison disease salt craving,1,2024
Endocrinology,Addisonian crisis symptoms,1,2019
Endocrinology,Adiponectin anti-obesity hormone,1,2013
Endocrinology,Adrenal cortisol deficiency,1,2013
Endocrinology,Adrenal hypoplasia pseudohermaphroditism,1,2017
Endocrinology,Adrenal insufficiency electrolyte effects,1,2024
Endocrinology,Adrenal insufficiency hyperpigmentation hyponatremia,1,2020
Endocrinology,Adrenal reserve assessment,1,2013
Endocrinology,Adrenaline alpha cell stimulation,1,2012
Endocrinology,Alpha adrenergic insulin suppression,1,2012
Endocrinology,Androgen insensitivity 46 XY,1,2018
Endocrinology,Androgen insensitivity surgical management,1,2013
Endocrinology,Androgen insensitivity syndrome embryology,1,2010
Endocrinology,Androgen receptor insensitivity syndrome,1,2013
Endocrinology,Androgen stimulated erythropoiesis,1,2013
Endocrinology,Angiotensin II vasoconstriction,1,2013
Endocrinology,Anti-Mullerian hormone low ovarian reserve,1,2019
Endocrinology,Aromatase estrogen synthesis,1,2013
Endocrinology,Best ovarian reserve indicator,1,2016
Endocrinology,Biphasic insulin secretion,1,2024
Endocrinology,Bromocriptine for hyperprolactinemia,1,2013
Endocrinology,C-peptide proinsulin cleavage,1,2019
Endocrinology,CAH salt wasting crisis,1,2011
Endocrinology,Calciphylaxis end-stage renal disease,1,2013
Endocrinology,Calciphylaxis in end stage renal disease,1,2013
Endocrinology,Charcot joint common site,1,2014
Endocrinology,Complete androgen insensitivity syndrome,1,2018
Endocrinology,Conditions with decreased BMR,1,2010
Endocrinology,Congenital adrenal hypoplasia association,1,2016
Endocrinology,Congenital hypothyroidism clinical features,1,2013
Endocrinology,Cortisol is not stored,1,2013
Endocrinology,Craniopharyngioma diagnosis histology,1,2024
Endocrinology,Craniopharyngioma post-op hormone replacement,1,2011
Endocrinology,DHEA as major adrenal androgen,1,2012
Endocrinology,DHT required for external genitalia,1,2016
Endocrinology,DKA initial management,1,2022
Endocrinology,DKA lab findings,1,2025
Endocrinology,Day 2-3 LH FSH,1,2013
Endocrinology,Diabetes Insipidus diagnostic tests,1,2011
Endocrinology,Diabetes Insipidus post surgery,1,2018
Endocrinology,Diabetes insipidus post-surgery,1,2018
Endocrinology,Diabetes mellitus treatment principles,1,2011
Endocrinology,Diabetic 3rd nerve palsy earliest sign,1,2018
Endocrinology,Diabetic hyporeninemic hypoaldosteronism,1,2013
Endocrinology,Diabetic ketoacidosis bicarbonate loss,1,2011
Endocrinology,Diabetic oculomotor nerve palsy,1,2016
Endocrinology,Dopamine inhibits prolactin release,1,2012
Endocrinology,Endocrine disease management,1,2022
Endocrinology,Episodic hypertension in pheochromocytoma,1,2012
Endocrinology,Estrogen beta receptor location,1,2014
Endocrinology,Estrogen deficiency diagnostic threshold,1,2015
Endocrinology,Estrogen positive feedback,1,2013
Endocrinology,Estrogen promotes duct formation,1,2013
Endocrinology,Exercise induced GLUT4 uptake,1,2024
Endocrinology,FSH elevation diagnostic threshold,1,2015
Endocrinology,FSH ovarian reserve indicator,1,2013
Endocrinology,Female ambiguous genitalia causes,1,2011
Endocrinology,Feminizing adrenal tumor,1,2014
Endocrinology,Fetal insulin production onset,1,2016
Endocrinology,Fetal testosterone production stimulus,1,2022
Endocrinology,Free fatty acid inhibition of GH,1,2013
Endocrinology,GH growth via IGF-1,1,2014
Endocrinology,GH suppression test for acromegaly,1,2020
Endocrinology,GLUT2 in pancreatic beta cells,1,2012
Endocrinology,Ganirelix is a GnRH antagonist,1,2014
Endocrinology,Gastrin elevation,1,2014
Endocrinology,Gastrin elevation syndrome,1,2012
Endocrinology,Genetic causes of undervirilization,1,2012
Endocrinology,Ghrelin rise during starvation,1,2013
Endocrinology,Glycogen storage disease diagnosis,1,2010
Endocrinology,Gonadal dysgenesis exception,1,2012
Endocrinology,Graves disease characteristics,1,2018
Endocrinology,Growth hormone JAK STAT pathway,1,2013
Endocrinology,Growth hormone decrease factors,1,2012
Endocrinology,Growth hormone stimuli,1,2012
Endocrinology,HIAA carcinoid syndrome,1,2016
Endocrinology,HT indication hot flash,1,2018
Endocrinology,Hashimoto disease associations,1,2013
Endocrinology,High TSH low T4 diagnosis,1,2011
Endocrinology,Hirsutism amenorrhea obesity,1,2013
Endocrinology,Hormone for galactopoiesis,1,2015
Endocrinology,Hormone replacement for estrogen deficiency,1,2012
Endocrinology,Hormone replacement for gonadal dysgenesis,1,2012
Endocrinology,Hormone replacement in premature menopause,1,2012
Endocrinology,Hormone therapy prevents menopausal complications,1,2012
Endocrinology,Hydrocortisone for adrenal crisis,1,2012
Endocrinology,Hydroxylation in glucocorticoid synthesis,1,2013
Endocrinology,Hypercalcemia differential diagnosis,1,2024
Endocrinology,Hypercalcemia management drugs,1,2013
Endocrinology,Hypercalcemia treatment options,1,2013
Endocrinology,Hypergonadotropic hypogonadism conditions,1,2014
Endocrinology,Hyperparathyroid brown tumors,1,2013
Endocrinology,Hyperparathyroidism causes hypophosphatemia,1,2012
Endocrinology,Hyperthyroidism lab interpretation,1,2020
Endocrinology,Hyperthyroidism symptoms TSH T3 T4,1,2020
Endocrinology,Hypoglycemia differential diagnosis,1,2010
Endocrinology,Hypoparathyroidism lab findings,1,2010
Endocrinology,Hypothyroidism IHD treatment,1,2011
Endocrinology,IDM neonatal seizure cause,1,2011
Endocrinology,IGF 1 mediates osteogenesis,1,2013
Endocrinology,IGF primary secretion site,1,2017
Endocrinology,IGF-1 mediated antilipolysis,1,2013
Endocrinology,Inhibin B deficiency infertility,1,2015
Endocrinology,Initial investigation of thyroid nodule,1,2024
Endocrinology,Insulin dependent cells,1,2015
Endocrinology,Insulin inhibits hormone sensitive lipase,1,2012
Endocrinology,Insulin secretion inhibitors,1,2010
Endocrinology,Insulin suppression first response,1,2012
Endocrinology,Insulin tyrosine kinase receptor,1,2020
Endocrinology,Insulin-dependent muscle glucose entry,1,2012
Endocrinology,Insulin-stimulated GLUT4 translocation,1,2012
Endocrinology,Insulinoma diagnostic tests,1,2011
Endocrinology,Iodine-induced thyroid autoregulation,1,2012
Endocrinology,Isolated ALP elevation Paget's disease,1,2025
Endocrinology,LH elevated in PCOS,1,2013
Endocrinology,LH surge precedes ovulation,1,2013
Endocrinology,Lateral hypothalamic orexin neurons,1,2013
Endocrinology,Liddle syndrome features,1,2016
Endocrinology,Low Ca high P high PTH investigation,1,2011
Endocrinology,Low insulin glucagon ratio,1,2018
Endocrinology,Low insulin glucagon ratio effects,1,2023
Endocrinology,Low urinary calcium exception,1,2012
Endocrinology,MEN 2B clinical manifestations,1,2022
Endocrinology,MEN IIA features,1,2016
Endocrinology,MEN-1 gastrinoma common site,1,2020
Endocrinology,MEN2A endocrine tumors,1,2013
Endocrinology,MTC MEN2 association,1,2019
Endocrinology,Major adrenal androgen,1,2012
Endocrinology,Male infertility causes,1,2018
Endocrinology,Maternal androgen-induced virilization,1,2012
Endocrinology,Mauriac's syndrome,1,2014
Endocrinology,Meglitinides mechanism and effects,1,2011
Endocrinology,Melatonin circadian rhythm regulation,1,2013
Endocrinology,Menstrual blood loss anemia,1,2013
Endocrinology,Metabolic syndrome associations,1,2010
Endocrinology,Metabolic syndrome diagnostic criteria,1,2020
Endocrinology,Methotrexate for ectopic pregnancy,1,2018
Endocrinology,Mineralocorticoid receptor distribution,1,2011
Endocrinology,Most common cause Addison's disease India,1,2015
Endocrinology,Most common functioning PNET,1,2020
Endocrinology,Myasthenia gravis thymoma link,1,2020
Endocrinology,Nelson syndrome after adrenalectomy,1,2013
Endocrinology,Nelson syndrome etiology,1,2013
Endocrinology,Neonatal TSH elevation investigation,1,2022
Endocrinology,Neonatal hypocalcemia diagnosis,1,2011
Endocrinology,Nesidioblastosis features,1,2011
Endocrinology,Niacin raises blood glucose,1,2018
Endocrinology,Normal luteal phase hormone profile,1,2024
Endocrinology,Nuclear thyroid hormone receptor,1,2013
Endocrinology,Obstructive azoospermia hormonal profile,1,2011
Endocrinology,Osteomalacia alkaline phosphatase,1,2024
Endocrinology,Ovarian causes precocious puberty,1,2014
Endocrinology,PCOD hormonal features,1,2011
Endocrinology,PCOS associated conditions,1,2010
Endocrinology,PCOS clinical features diagnosis,1,2013
Endocrinology,Paraganglioma dense core granules EM,1,2010
Endocrinology,Parathyroid hormone rises with age,1,2013
Endocrinology,Pegvisomant mechanism acromegaly,1,2022
Endocrinology,Pendred syndrome mutation,1,2014
Endocrinology,Pheochromocytoma catecholamine excess,1,2024
Endocrinology,Pheochromocytoma characteristics,1,2011
Endocrinology,Pheochromocytoma preoperative alpha blockade,1,2025
Endocrinology,Pheochromocytoma preoperative management,1,2024
Endocrinology,Phosphate binders in renal HPT,1,2012
Endocrinology,Physiological hydrocortisone dose,1,2018
Endocrinology,Pituitary apoplexy hypertension,1,2020
Endocrinology,Polycystic ovary syndrome,1,2018
Endocrinology,Postcoital bleeding evaluation,1,2018
Endocrinology,Postmenopausal FSH increase,1,2012
Endocrinology,Postmenopausal LH elevation,1,2012
Endocrinology,Precocious puberty age threshold,1,2012
Endocrinology,Premature ovarian failure,1,2012
Endocrinology,Premature ovarian insufficiency,1,2012
Endocrinology,Premature ovarian insufficiency diagnosis,1,2024
Endocrinology,Primary amenorrhea differential diagnosis,1,2018
Endocrinology,Primary amenorrhoea etiology,1,2011
Endocrinology,Primary hyperaldosteronism diagnostic criteria,1,2015
Endocrinology,Prolactin inhibition of GnRH,1,2024
Endocrinology,Prolactin measured in ng/ml,1,2013
Endocrinology,Prolactin mediates milk production,1,2013
Endocrinology,Prolactinoma clinical features,1,2024
Endocrinology,Prolactinoma diagnosis threshold,1,2018
Endocrinology,Prolactinoma diagnostic prolactin level,1,2018
Endocrinology,Prolactinoma diagnostic prolactin levels,1,2016
Endocrinology,Prolactinoma diagnostic threshold,1,2017
Endocrinology,Prolactinoma medical management,1,2022
Endocrinology,Pseudohypoparathyroidism cAMP defect,1,2011
Endocrinology,Pseudohypoparathyroidism clinical sign,1,2013
Endocrinology,Pseudohypoparathyroidism features,1,2010
Endocrinology,Rickets Vitamin D resistance,1,2021
Endocrinology,SGLT2 inhibitors heart failure,1,2024
Endocrinology,Sarcoidosis hypercalcemia mechanism,1,2013
Endocrinology,Secondary adrenal insufficiency features,1,2014
Endocrinology,Secretin stimulation test,1,2012
Endocrinology,Sheehan syndrome associated features,1,2025
Endocrinology,Somatic growth pattern,1,2019
Endocrinology,Somatomedin C deficiency effect,1,2015
Endocrinology,Stage 3 type 1 diabetes,1,2019
Endocrinology,Steroid synthesis hydroxylation,1,2013
Endocrinology,Suprachiasmatic nucleus ACTH rhythm,1,2012
Endocrinology,Syndromes causing obesity,1,2015
Endocrinology,Testosterone androgenization response,1,2013
Endocrinology,Testosterone suppresses LH FSH,1,2013
Endocrinology,Thymoma associated conditions,1,2010
Endocrinology,Thyroid hormone and myelination,1,2012
Endocrinology,Thyroid hormone nuclear receptor,1,2013
Endocrinology,Thyroid-mediated thermogenesis,1,2012
Endocrinology,Thyroxine colloid storage,1,2012
Endocrinology,Thyroxine oral activity,1,2013
Endocrinology,Thyroxine response during stress,1,2013
Endocrinology,Turner syndrome 45 XO,1,2018
Endocrinology,Type 1 Diabetes staging,1,2019
Endocrinology,Type 1 diabetes beta-cell destruction,1,2020
Endocrinology,Urinary catecholamines testing,1,2012
Endocrinology,VIPoma classical symptom,1,2012
Endocrinology,VMA pheochromocytoma,1,2016
Endocrinology,Vitiligo associations,1,2014
Endocrinology,Waterhouse Friderichsen syndrome,1,2013
Endocrinology,XO genotype primary amenorrhoea diagnosis,1,2011
Endocrinology,[PAGE 69],1,2022
Endocrinology,cAMP signaling exceptions,1,2012
Endocrinology,central precocious puberty mechanism,1,2014
Endocrinology,diabetic foot ulcer etiology,1,2014
Endocrinology,endocrine disorder classification,1,2013
Endocrinology,growth hormone spermatogenesis,1,2014
Endocrinology,hypothyroidism infancy features,1,2013
Endocrinology,insulin inhibits hormone sensitive lipase,1,2012
Endocrinology,low GnRH amenorrhea,1,2024
Endocrinology,metyrapone mechanism of action,1,2016
Endocrinology,niacin diabetes contraindication,1,2016
Endocrinology,pediatric diabetes HbA1c target,1,2013
Endocrinology,peripheral precocious puberty mechanism,1,2014
Endocrinology,pheochromocytoma false statement,1,2021
Endocrinology,precocious puberty causes,1,2014
Endocrinology,solitary toxic adenoma diagnosis,1,2015
Endocrinology,tertiary hyperparathyroidism definition,1,2016
Endocrinology,testicular feminization diagnosis,1,2014
Endometrial Biopsy,Endometrial biopsy timing,1,2013
Endometrial Cancer,Endometrial cancer stage II,1,2012
Endometrial Carcinoma,Endometrial cancer risk factors,1,2012
Endometrial Carcinoma,Endometrial carcinoma vaginal involvement staging,1,2014
Endometrial Hyperplasia,endometrial hyperplasia risk,1,2014
Endometrial Hyperplasia,simple endometrial hyperplasia treatment,1,2013
Endometrial biopsy,Endometrial biopsy timing,1,2013
Endometrial cancer,Endometrial cancer stage II,1,2012
Endometrial carcinoma,Endometrial cancer risk factors,1,2012
Endometrial carcinoma,Endometrial carcinoma vaginal involvement staging,1,2014
Endometrial pathology,DUB endometrial thickness investigation,1,2011
Endometriosis,Adenomyosis histopathologic diagnosis,1,2012
Endometriosis,CA-125 elevation conditions,1,2016
Endometriosis,Endometrioma MRI appearance,1,2024
Endometriosis,Endometriosis clinical diagnosis signs,1,2016
Endometriosis,Endometriosis diagnostic laparoscopy,1,2012
Endometriosis,Endometriosis hormonal therapy,1,2013
Endometriosis,Endometriosis investigation choice,1,2016
Endometriosis,Endometriosis triad,1,2016
Endometriosis,Endometriosis typical symptoms,1,2013
Endometriosis,GnRH analogues cause hepatic enzyme elevation,1,2016
Endometriosis,Ovarian endometriosis,1,2012
Endometriosis,Samson retrograde menstruation theory,1,2016
Endometriosis,Scar endometriosis diagnosis,1,2020
Endometriosis,complete family endometriosis management,1,2016
Endometriosis,diffuse endometriosis surgery choice,1,2016
Endometriosis,endometriosis drug,1,2014
Endometriosis,endometriosis investigation,1,2014
Endometriosis,endometriosis retrograde menstruation,1,2016
Endometriosis,laparoscopic surgery endometriosis infertility,1,2016
Endometriosis,powder burnt lesion endometriosis,1,2016
Endometriosis,treatment choice endometriosis infertility,1,2016
Endometritis,Tuberculosis endometritis common symptom,1,2013
Endometrium,Endometrial activity investigation,1,2013
Endophthalmitis,Late endophthalmitis common cause,1,2011
Endophthalmitis,Panophthalmitis anatomical involvement,1,2013
Endophthalmitis,Post-cataract endophthalmitis management,1,2018
Endophthalmitis,Reverse hypopyon definition,1,2015
Endophthalmitis,povidone iodine preoperative prep,1,2016
Endoscopic Procedures,Hysteroscopy bipolar cautery medium,1,2020
Endoscopic Sinus Surgery,Reverse Trendelenburg for FESS,1,2013
Endoscopic Surgery,Laparoscopy and genital prolapse,1,2012
Endoscopic procedures,Hysteroscopy bipolar cautery medium,1,2020
Endoscopic surgery,Laparoscopy and genital prolapse,1,2012
Endoscopic therapy,Endoscopic PMMA for GERD,1,2016
Endoscopy,Capsule endoscopy indications,1,2013
Endoscopy,Dohlman procedure indication,1,2019
Endoscopy,ERCP indication exceptions,1,2013
Endoscopy,Laparoscope identification,1,2020
Endoscopy,sigmoidoscope length,1,2014
Endothelin Receptors,Endothelin receptor type,1,2018
Endothelin receptors,Endothelin receptor type,1,2018
Endothelium,corneal endothelial cell count specular microscope,1,2014
Endotracheal Intubation,Endobronchial intubation diagnosis,1,2010
Endotracheal tube,Murphy's eye in ETT,1,2018
Energy Metabolism,ATP immediate energy source,2,"2013,2015"
Energy Metabolism,ATP immediate energy,1,2014
Energy Metabolism,Adult male heavy work calorie need,1,2015
Energy Metabolism,BMR dependence factors,1,2010
Energy Metabolism,Basal metabolic rate association,1,2011
Energy Metabolism,Cardiac fatty acid respiratory quotient,1,2012
Energy Metabolism,Conditions with decreased BMR,1,2010
Energy Metabolism,Ketone bodies brain fuel,1,2025
Energy Metabolism,Phosphate immediate energy,1,2014
Energy Metabolism,Protein thermic effect,1,2012
Energy expenditure,Basal metabolic rate association,1,2011
Energy metabolism,ATP immediate energy source,1,2013
Energy metabolism,Basal metabolic rate association,1,2011
Enophthalmos,Enophthalmos in blow-out fracture,1,2016
Enriched media,Blood agar enriched media,1,2014
Ent Procedures,Topical hemostasis ENT,1,2021
Enteric Fever,Typhoid fever symptom pattern,1,2013
Enteric fever,Early typhoid blood culture,1,2023
Enteric fever,Enteric fever reservoir,1,2015
Enteric fever,Typhoid fever symptom pattern,1,2013
Enteric nervous system,Intestinal peristalsis regulation,1,2015
Enteric nervous system,Myenteric inhibition decreases gut motility,1,2013
Enteric nervous system,Myenteric plexus regulation,1,2015
Enteric viruses,Rotavirus stool antigen detection,1,2018
Enterobacteriaceae,E. coli subtype classification basis,1,2016
Enterobacteriaceae,Salmonella Shigella differentiation,1,2015
Enterococci,Enterococcus bile esculin PYR positivity,1,2015
Enterococci,Enterococcus heat resistance at 60°C,1,2015
Enterococci,Enterococcus isolation via 60°C heating,1,2015
Enterococci,Group D streptococcal heat resistance,1,2012
Enterococcus,Enterococcus bile esculin,2,"2014,2015"
Enterococcus,Enterococcus heat resistance,1,2014
Enterohemorrhagic E. coli,E. coli O157:H7 sorbitol agar,1,2014
Enteroviruses,Coxsackievirus A16 hand-foot-mouth,1,2019
Entomology,Anopheles lacks siphon,1,2025
Entomology,Insect DDT resistance,1,2011
Entomology,Mosquito lacking siphon tube,1,2025
Enuresis,Imipramine enuresis drug,1,2013
Enuresis,Nocturnal enuresis therapy,1,2015
Enuresis,Nocturnal enuresis treatment,1,2013
Envenomation,Scorpion sting drug of choice,1,2019
Environment & Occupational Health,Factory Act child employment rules,2,"2016,2017"
Environment & Occupational Health,Gradenigo syndrome features,2,2014
Environment & Occupational Health,Minimum floor space per worker,2,2016
Environment & Occupational Health,Vasomotor rhinitis features,2,2015
Environment & Occupational Health,Acute tonsillitis nerve supply,1,2016
Environment & Occupational Health,Adenoid pseudostratified ciliated columnar,1,2015
Environment & Occupational Health,Allergic rhinitis CT finding,1,2019
Environment & Occupational Health,Angiofibroma Holman Miller sign,1,2025
Environment & Occupational Health,Antibiotic ear drops with steroids,1,2016
Environment & Occupational Health,Arnold's nerve cough reflex,1,2020
Environment & Occupational Health,Aryepiglottic ligament superior border,1,2015
Environment & Occupational Health,Asbestos related mesothelioma,1,2018
Environment & Occupational Health,Aspergillus 45 degree branching hyphae,1,2010
Environment & Occupational Health,Atrophic rhinitis closure,1,2020
Environment & Occupational Health,Attico antral disease management,1,2014
Environment & Occupational Health,Audiogram right ear representation,1,2013
Environment & Occupational Health,Auditory brainstem implant location,1,2016
Environment & Occupational Health,Aural toilet technique,1,2016
Environment & Occupational Health,BPPV therapeutic maneuvers,1,2019
Environment & Occupational Health,Battle sign identification,1,2020
Environment & Occupational Health,Bell palsy cranial nerve,1,2024
Environment & Occupational Health,Bell's palsy nerve involvement,1,2019
Environment & Occupational Health,Beta-2 transferrin CSF marker,1,2014
Environment & Occupational Health,Breast cancer occupational exception,1,2012
Environment & Occupational Health,Byssinosis cause cotton dust,1,2014
Environment & Occupational Health,CSOM most commonly involved ossicle,1,2016
Environment & Occupational Health,CT cisternography for CSF leak,1,2015
Environment & Occupational Health,CT of frontal sinus mass,1,2023
Environment & Occupational Health,Ca larynx metastasis site,1,2016
Environment & Occupational Health,Caldwell view sinus,1,2014
Environment & Occupational Health,Caldwell's view indication,1,2017
Environment & Occupational Health,Caldwell's view sinus,1,2018
Environment & Occupational Health,Carcinoma palate features,1,2015
Environment & Occupational Health,Carotid body tumor imaging sign,1,2025
Environment & Occupational Health,Chemodectoma imaging modality,1,2016
Environment & Occupational Health,Cholesteatoma central part keratin debris,1,2014
Environment & Occupational Health,Chorda tympani branch of facial nerve,1,2016
Environment & Occupational Health,Collaural fistula embryology,1,2014
Environment & Occupational Health,Cormack and Lehane grading,1,2024
Environment & Occupational Health,Cranial nerve compression,1,2013
Environment & Occupational Health,Creche eligibility >30 women,1,2016
Environment & Occupational Health,Croup features management,1,2010
Environment & Occupational Health,Darwin tubercle location,1,2014
Environment & Occupational Health,Decompression sickness risk,1,2015
Environment & Occupational Health,Dirty infected wound classification,1,2015
Environment & Occupational Health,Dohlman procedure indication,1,2019
Environment & Occupational Health,Ear condition identification,1,2019
Environment & Occupational Health,Ear infection microbiology diagnosis,1,2011
Environment & Occupational Health,Ethmoid sinus pain nerve,1,2011
Environment & Occupational Health,Ethmoidal bullae middle ethmoid,1,2015
Environment & Occupational Health,Ethmoidal polyp bilateral,1,2015
Environment & Occupational Health,External nose anatomical features,1,2013
Environment & Occupational Health,Facial nerve palsy features,1,2015
Environment & Occupational Health,Facial nerve palsy sign,1,2015
Environment & Occupational Health,Facial nerve surgical landmarks,1,2014
Environment & Occupational Health,Factories Act maximum work hours,1,2020
Environment & Occupational Health,Factories act work hours,1,2020
Environment & Occupational Health,Factory Act canteen eligibility,1,2016
Environment & Occupational Health,Factory Act child labor,1,2018
Environment & Occupational Health,Factory Act child labour provisions,1,2018
Environment & Occupational Health,Factory Act creche eligibility,1,2016
